Title,NP without modification,Surface modification,SizeTEM (nm),Zeta potential,Incubation protein source,Incubation plasma concentration (v/v%),Incubation NP concentration (mg/L),Centrifugation speed (g),Centrifugation time （min）,Certrifugation temperature (℃),NP type,NP shape,Dispersion medium,Dispersion medium pH,SizeDLS (nm),PDI,Incubation culture,Incubation time (h),Incubation temperature (℃),Centrifugation repetitions,Modification type,Individual proteins,P02647,P02768,P04264,P13645,P35908,P35527,P02788,P02533
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DTNB,59.3,-10.41666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,60.27,0.247555556,buffer,1,37,1,Anionic,,1.0503,0,0,0,0,0,0.1337,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-10.26333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,94.89,0.103777778,buffer,1,37,1,Anionic,,0.7218,0,0,0,0,0,1.2793,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MES,59.3,-10.21333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,61.86,0.286,buffer,1,37,1,Anionic,,0.9801,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,TP,59.3,-10.09,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,57.28,0.27,buffer,1,37,1,Anionic,,1.0527,0,0,0,0,0,0.5103,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AUT,59.3,-10.03333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,77.26,0.167,buffer,1,37,1,Cationic,,6.773,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PAH-SH,59.3,-9.8175,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,68.42,0.278,buffer,1,37,1,Cationic,,4.8229,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CTAB,59.3,-9.765,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,107.61,0.094833333,buffer,1,37,1,Cationic,,5.3581,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CFGAILS,59.3,-9.72,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,68.38,0.0975,buffer,1,37,1,Anionic,,2.3151,0,0,0,0,0,0.3343,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-9.7,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,47.03,0.336444444,buffer,1,37,1,Cationic,,7.0875,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-9.696666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,114.53,0.138111111,buffer,1,37,1,Cationic,,3.3794,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,SPP,59.3,-9.683333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,105.01,0.073333333,buffer,1,37,1,Anionic,,2.7463,0,0,0,0,0,0.854,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-9.628333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,100.73,0.1,buffer,1,37,1,Anionic,,2.0713,0,0,0,0,0,0.5933,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-9.618166667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,88.32,0.050333333,buffer,1,37,1,Neutral,,5.4393,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-9.611666667,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,53.24,0.260666667,buffer,1,37,1,Cationic,,6.2156,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MPA,59.3,-9.600833333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,100.75,0.087111111,buffer,1,37,1,Anionic,,1.1434,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUA,59.3,-9.411666667,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,66.32,0.161222222,buffer,1,37,1,Anionic,,0.8115,0,0,0,0,0,0.2664,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,ODA,59.3,-9.311666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,95.18,0.099916667,buffer,1,37,1,Cationic,,13.5523,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CTAB,59.3,-9.25875,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,59.7,0.371,buffer,1,37,1,Cationic,,7.5698,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AC,14.9,-9.111666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,57.53,0.270222222,buffer,1,37,1,Anionic,,0.8221,0,0,0,0,0,0.7556,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-8.9875,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,39.99,0.146333333,buffer,1,37,1,Neutral,,3.5109,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CIT,59.3,-8.966666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,109.94,0.080888889,buffer,1,37,1,Anionic,,3.0833,0,0,0,0,0,0.1034,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,LA,59.3,-8.9525,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,48.09,0.201166667,buffer,1,37,1,Anionic,,0.6519,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MHA,59.3,-8.918333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,58.99,0.244333333,buffer,1,37,1,Anionic,,0,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MHDA,59.3,-8.81,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,67.37,0.120777778,buffer,1,37,1,Anionic,,0.9565,0,0,0,0,0,0.0538,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AHT,14.9,-8.788333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,90.06,0.215222222,buffer,1,37,1,Cationic,,1.4217,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MBA,59.3,-8.738333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,67.7,0.272888889,buffer,1,37,1,Anionic,,0.7594,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-8.731666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,57.25,0.265888889,buffer,1,37,1,Anionic,,0.9897,0,0,0,0,0,0.7363,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-8.713333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,65.58,0.046444444,buffer,1,37,1,Neutral,,4.9723,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MBA,59.3,-8.661666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,102.9,0.082833333,buffer,1,37,1,Anionic,,1.1602,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MHDA,59.3,-8.646666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,43.62,0.154555556,buffer,1,37,1,Anionic,,0.8198,0,0,0,0,0,0.6458,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-8.595,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,41.94,0.131888889,buffer,1,37,1,Anionic,,5.2123,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CIT,59.3,-8.501666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,54.03,0.217148148,buffer,1,37,1,Anionic,,2.8715,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,T20,59.3,-8.451666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,51.52,0.209083333,buffer,1,37,1,Anionic,,4.3092,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUTA,59.3,-8.354444444,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,106.63,0.196666667,buffer,1,37,1,Cationic,,1.856,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUA,59.3,-8.349722222,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,45.52,0.165518519,buffer,1,37,1,Anionic,,1.006,0,0,0,0,0,0.2476,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,14.9,-8.291666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,37.75,0.206666667,buffer,1,37,1,Anionic,,1.0813,0,0,0,0,0,0.7572,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,TP,59.3,-8.138333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,50.05,0.282444444,buffer,1,37,1,Anionic,,0.853,0,0,0,0,0,0.0517,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PVA,59.3,-8.073333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,106.12,0.070166667,buffer,1,37,1,Anionic,,3.7275,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUTA,59.3,-8.065833333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,127.34,0.173240741,buffer,1,37,1,Cationic,,1.1656,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,SPP,59.3,-8.028333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,48.66,0.115222222,buffer,1,37,1,Anionic,,1.2345,0,0,0,0,0,0.8752,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-7.945833333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,43.77,0.3395,buffer,1,37,1,Anionic,,6.4162,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AUT,59.3,-7.945,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,55.98,0.272555556,buffer,1,37,1,Cationic,,2.1594,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUTA,59.3,-7.943333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,122.28,0.203333333,buffer,1,37,1,Cationic,,2.2088,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-7.907666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,58.53,0.267333333,buffer,1,37,1,Anionic,,2.7865,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-7.806666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,41.64,0.129333333,buffer,1,37,1,Anionic,,5.2929,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,HDA,59.3,-7.726666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,54.89,0.234777778,buffer,1,37,1,Cationic,,4.3577,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-7.573333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,61.79,0.183888889,buffer,1,37,1,Anionic,,16.619,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-7.48,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,44.6,0.092888889,buffer,1,37,1,Neutral,,2.3342,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-7.368333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,43.48,0.145333333,buffer,1,37,1,Anionic,,3.2036,0,0,0,0,0,0.1456,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-7.198333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,52.42,0.215333333,buffer,1,37,1,Anionic,,0.5035,0,0,0,0,0,0.5453,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-7.196666667,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,71.85,0.155555556,buffer,1,37,1,Cationic,,1.7259,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEI-SH,59.3,-7.043333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,52.46,0.176333333,buffer,1,37,1,Cationic,,1.0236,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-6.778333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,42.05,0.193222222,buffer,1,37,1,Anionic,,0.9962,0,0,0,0,0,0.5886,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,14.9,-6.728333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,44.43,0.183888889,buffer,1,37,1,Anionic,,0.909,0,0,0,0,0,0.6649,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,F127,59.3,-6.633333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,46.63,0.1965,buffer,1,37,1,Anionic,,3.9812,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-6.628333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,29.68,0.151777778,buffer,1,37,1,Neutral,,1.1662,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CALNN,59.3,-6.536666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,38.8,0.154083333,buffer,1,37,1,Anionic,,1.4477,0,0,0,0,0,1.6229,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-6.523333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,48.4,0.308,buffer,1,37,1,Cationic,,8.6337,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-6.52,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,93.52,0.0545,buffer,1,37,1,Anionic,,6.9423,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PAH-SH,59.3,-6.483333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,68.07,0.310111111,buffer,1,37,1,Cationic,,3.0258,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-6.373333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,47.34,0.237111111,buffer,1,37,1,Cationic,,2.3328,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-6.096666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,59.93,0.366916667,buffer,1,37,1,Cationic,,9.3969,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,SA,59.3,-6.091666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,46.53,0.214166667,buffer,1,37,1,Anionic,,3.6667,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PVA,59.3,-6.063333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,53.12,0.178083333,buffer,1,37,1,Anionic,,0.8616,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-5.993333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,52.02,0.193666667,buffer,1,37,1,Neutral,,3.9464,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-5.913333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,38.69,0.153555556,buffer,1,37,1,Neutral,,1.7802,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-5.705,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,100.13,0.370166667,buffer,1,37,1,Cationic,,7.1476,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-5.676666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,55.39,0.236222222,buffer,1,37,1,Anionic,,0.9721,0,0,0,0,0,0.5264,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-5.643333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,72.3,0.201277778,buffer,1,37,1,Anionic,,0.5599,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-5.518333333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,61.43,0.225666667,buffer,1,37,1,Cationic,,10.1217,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-5.455,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,58.95,0.345916667,buffer,1,37,1,Cationic,,10.9596,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-5.43,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,53.41,0.085666667,buffer,1,37,1,Cationic,,5.7545,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-5.351666667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,44.75,0.298666667,buffer,1,37,1,Anionic,,11.1641,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-5.258333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,41.88,0.118444444,buffer,1,37,1,Anionic,,5.5826,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PVP,59.3,-5.238333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,52.96,0.216875,buffer,1,37,1,Anionic,,1.2965,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DDT,59.3,-5.140833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,55.07,0.251833333,buffer,1,37,1,Cationic,,6.9545,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-5.0435,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,51.18,0.162888889,buffer,1,37,1,Neutral,,1.8065,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MUEG4,59.3,-5.007083333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,226.51,0.438527778,buffer,1,37,1,Neutral,,3.6296,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-4.4106,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,84.87,0.037888889,buffer,1,37,1,Neutral,,4.1965,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-3.916833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,47,0.178333333,buffer,1,37,1,Anionic,,11.2986,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-3.891333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,64.65,0.252333333,buffer,1,37,1,Anionic,,0.4018,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-3.772566667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,47.07,0.124555556,buffer,1,37,1,Neutral,,0,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,NT,59.3,-3.580333333,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,100.88,0.083916667,buffer,1,37,1,Anionic,,0.5206,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-2.935,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,48.76,0.133888889,buffer,1,37,1,Neutral,,4.7482,0,0,0,0,0,2.2857,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-2.753333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,33.05,0.158222222,buffer,1,37,1,Neutral,,6.1739,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-2.232166667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,110.75,0.077777778,buffer,1,37,1,Neutral,,6.3563,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-2.015,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,98.21,0.044222222,buffer,1,37,1,Neutral,,7.8469,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-1.730833333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,34.77,0.134666667,buffer,1,37,1,Neutral,,0,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,PEG,59.3,-0.61,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,127.22,0.027666667,buffer,1,37,1,Neutral,,6.2648,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,AUT,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Cationic,,1.1244,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,CIT,38.4,-13.5,HS,100,154800.795,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,0.7196,0,0,0,0,0,0.2061,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Neutral,,2.8758,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,DDT,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Cationic,,2.4929,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,HDA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Cationic,,1.9088,0,0,0,0,0,0.3898,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,LA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,1.3919,0,0,0,0,0,0.5482,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MAA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,1.0607,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MBA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,1.0426,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MES,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,1.0619,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MHDA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,0,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Neutral,,3.9446,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,MUTA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Cationic,,2.5019,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PEG,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Neutral,,2.8954,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,amino acid,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,1.0528,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,PVA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,5.6245,0,0,0,0,0,0.2678,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Ag,SA,38.4,-13.5,HS,100,671.2825,5000,45,4,metal,sphere,PBS,7.4,38.4,0.126944444,buffer,1,37,1,Anionic,,7.5505,0,0,0,0,0,0,0
Protein corona significantly reduces active targeting yield,SiO2,BCN,47.02,-16.6,FBS,9,200,10000,30,25,other,sphere,plasma,7.4,383,0.28,buffer,1,37,1,Neutral,,6.05,0.41,0,0,0,0,0,0
